ID,Area,Page_or_Component,Requirement,Baseline_or_Enhancement_Rule,Acceptance_Evidence,Priority,Data_Dependency,Status
SVE-BATCH-03,BATCH,Batch Scoring,"Show score bands, expected buyer concentration, segment mix, and anomaly mix.",Use real or clearly labeled simulated evidence.,"Metrics reconcile. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-04,BATCH,Batch Scoring,"Show target size, capture, precision proxy, cost, and scenario outcomes by threshold.",Production threshold remains visible and unchanged.,"Scenario formulas tested. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-05,BATCH,Batch Scoring,Allow campaign-capacity limits and show the highest-priority audience within capacity.,Use stable ranking and tie handling.,"Top-N selection tests. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-06,BATCH,Batch Scoring,Compare multiple targeting strategies side by side.,"Examples: production threshold, fixed budget, top percentile, segment-first.","Strategy definitions documented. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-07,BATCH,Batch Scoring,Explain how filters and rules reduce the audience.,Use clear stage counts and reasons.,"Stage reconciliation test. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-08,BATCH,Batch Scoring,"Provide score, tier, key drivers, segment, anomaly, and action for selected rows.",Heavy explanations should be generated on demand.,"Spot-check with model outputs. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-09,BATCH,Batch Scoring,"Export campaign-ready file with rank, score, tier, threshold, segment, explanation, and metadata.",Exclude unnecessary technical columns by default.,"CSV schema and metadata test. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-BATCH-10,BATCH,Batch Scoring,Generate actual-number findings and recommended campaign action.,No generic conclusion.,"Result-based narrative review. Closure sprint implementation evidence: app/pages/2_Batch_Scoring.py; app/ui/campaign_intelligence.py; tests/test_closure_sprint_intelligence.py. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Batch scoring outputs and threshold evidence,VERIFIED
SVE-MODEL-01,MODEL,Model Benchmark and Selection,"Show champion model, version, threshold, feature schema, data split, and evidence dates.",Reuse verified metadata.,"Metadata hash and values verified. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-02,MODEL,Model Benchmark and Selection,Interactive multi-metric model comparison with validation and holdout separation.,Never mix incomparable metrics or datasets.,"Model rows and metric sources verified. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-03,MODEL,Model Benchmark and Selection,Show precision-recall or business-score frontier across candidates.,Reuse approved visual logic where appropriate.,"Frontier inputs verified. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-04,MODEL,Model Benchmark and Selection,"Interactive ROC curve with AUC, operating point, and plain-language explanation.",Use holdout or clearly labeled evaluation split.,Curve and AUC tested. Condition retained: Full ROC point-level curve artifact was not saved; AUC and operating-point evidence remain available. Evidence available: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence.,P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",CONDITIONAL
SVE-MODEL-05,MODEL,Model Benchmark and Selection,Interactive PR curve with baseline prevalence and operating point.,Preferred for rare conversion context.,"Curve and PR-AUC tested. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-06,MODEL,Model Benchmark and Selection,"Interactive confusion matrix with counts, rates, business costs, and threshold.",Labels must be unambiguous.,"Counts reconcile with predictions. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-07,MODEL,Model Benchmark and Selection,"Show precision, recall, F1, target share, and buyer capture across thresholds.",Preserve current strong chart if already correct.,"Threshold table and chart reconcile. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-08,MODEL,Model Benchmark and Selection,"Translate threshold changes into audience, expected buyers, cost, and value.",Assumptions visible.,"Formula tests. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-09,MODEL,Model Benchmark and Selection,Show predicted probability versus observed frequency with bin counts.,Use available holdout labels; not live production unless matured.,Calibration bins verified. Condition retained: Calibration-bin evidence was not saved; probability reliability is described without inventing calibration. Evidence available: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence.,P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",CONDITIONAL
SVE-MODEL-10,MODEL,Model Benchmark and Selection,Compare score distributions by actual class or relevant cohort.,Class labels must match evidence source.,"Distribution totals verified. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-11,MODEL,Model Benchmark and Selection,Compare validation and untouched holdout performance.,Avoid unsupported multi-run comparisons.,"Paired metrics validated. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-MODEL-12,MODEL,Model Benchmark and Selection,"Show available fold, seed, bootstrap, or sensitivity evidence.",Conditional when repeated-run evidence is unavailable.,Evidence count and limitations shown. Condition retained: Only saved seed/stability/sensitivity evidence is shown. Evidence available: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence.,P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",CONDITIONAL
SVE-MODEL-13,MODEL,Model Benchmark and Selection,Show genuine ecommerce MLflow evidence only.,"If comparable runs are insufficient, show readiness/status rather than demo metrics.",Experiment filters and excluded-run counts verified. Condition retained: Only verified ecommerce MLflow registry evidence is shown; no synthetic experiment history. Evidence available: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence.,P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",CONDITIONAL
SVE-MODEL-14,MODEL,Model Benchmark and Selection,"Export model comparison, threshold table, and metadata.",Include evidence source and version.,"Download validation. Closure sprint implementation evidence: app/pages/3_Model_Benchmark_Selection.py; app/ui/model_decision_intelligence.py; saved champion/threshold evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,"Approved model evaluation, threshold, calibration, and MLflow artifacts",VERIFIED
SVE-XAI-01,XAI,Visitor Predictor / Explainability,Interactive SHAP global importance using approved feature names.,Do not substitute impurity importance when claiming SHAP.,"SHAP artifact and model version verified. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-02,XAI,Visitor Predictor / Explainability,Show feature impact direction and magnitude across visitors.,Use deterministic sample and precompute.,"Sample, explainer, and output manifest. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-03,XAI,Visitor Predictor / Explainability,Show effect pattern for selected important features.,Avoid causal language.,Feature values and SHAP values verified. Condition retained: No approved per-feature dependence table exists; global and local contribution evidence is shown instead. Evidence available: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence.,P1,Approved SHAP and feature artifacts,CONDITIONAL
SVE-XAI-04,XAI,Visitor Predictor / Explainability,Explain one visitor score with positive and negative drivers.,Use model-consistent local SHAP values.,"Base value plus contributions reconcile. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-05,XAI,Visitor Predictor / Explainability,Show top positive and negative contributions with readable labels.,Limit clutter and group minor drivers.,"Contribution arithmetic verified. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-06,XAI,Visitor Predictor / Explainability,Translate local drivers into simple business language.,No invented reason beyond model evidence.,"Template rules and examples reviewed. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-07,XAI,Visitor Predictor / Explainability,"Show safe, non-causal 'what would change the score' scenarios where technically defensible.","Clearly label as model scenario, not guaranteed outcome.",Conditional implementation and limitations. Condition retained: Counterfactual score changes are excluded unless technically defensible; non-causal driver guidance only. Evidence available: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence.,P1,Approved SHAP and feature artifacts,CONDITIONAL
SVE-XAI-08,XAI,Visitor Predictor / Explainability,Compare important drivers across segments or score tiers.,Use comparable cohorts and sample sizes.,Cohort definitions verified. Condition retained: Segment/tier driver comparison depends on saved contribution rows with compatible segment labels. Evidence available: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence.,P1,Approved SHAP and feature artifacts,CONDITIONAL
SVE-XAI-09,XAI,Visitor Predictor / Explainability,Show data distance or support warning for unusual visitors.,Conditional on a defensible support metric.,"Out-of-distribution logic tested. Condition retained: Distance/support warning is available from neighbourhood and anomaly evidence, not a formal uncertainty interval. Evidence available: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence.",P1,Approved SHAP and feature artifacts,CONDITIONAL
SVE-XAI-10,XAI,Visitor Predictor / Explainability,"Provide business definitions, units, formulas, and source for each feature.",Use canonical feature contract.,"Definitions match code. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-11,XAI,Visitor Predictor / Explainability,Cache model and explainer; compute local explanation only on demand.,No full-dataset SHAP during page render.,"Load and interaction timings. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-XAI-12,XAI,Visitor Predictor / Explainability,"Export visitor score, drivers, model version, and disclaimer.",No sensitive or unnecessary columns.,"Download review. Closure sprint implementation evidence: app/pages/1_Visitor_Intent_Predictor.py; app/ui/visitor_similarity_explainability.py; native contribution evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P1,Approved SHAP and feature artifacts,VERIFIED
SVE-FCST-01,FCST,Business KPI Forecasting,"Allow supported KPI, horizon, and scenario selection.",Restrict controls to validated forecast outputs.,"Selector and source mapping tests. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-02,FCST,Business KPI Forecasting,Interactive historical and future forecast with clear boundary.,Preserve current useful forecast charts.,"Dates, values, and horizon verified. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-03,FCST,Business KPI Forecasting,Show uncertainty bands and explain their meaning.,Do not show unsupported intervals.,"Interval ordering and coverage fields tested. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-04,FCST,Business KPI Forecasting,Show historical actual versus forecast performance.,Use leakage-safe backtest windows.,"Backtest inputs and metrics verified. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-05,FCST,Business KPI Forecasting,"Show residual over time, distribution, and major outliers.","Use readable, non-repetitive diagnostics.","Residual calculations verified. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-06,FCST,Business KPI Forecasting,"Show MAE, RMSE, MAPE or appropriate metrics with plain meaning.",Avoid MAPE when denominator issues make it misleading.,"Metric choice documented. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-07,FCST,Business KPI Forecasting,"Compare baseline, optimistic, and conservative business scenarios.","Scenarios must use explicit assumptions, not fake predictions.","Assumption table and formulas. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-08,FCST,Business KPI Forecasting,Compare linked operational KPIs where supported.,Avoid implying causality.,"Source alignment verified. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-09,FCST,Business KPI Forecasting,Show available feature or decomposition evidence for forecast changes.,Conditional on model support.,Honest unavailable state. Condition retained: Forecast decomposition/feature evidence is shown only when saved by the approved model pipeline. Evidence available: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables.,P2,"Forecast outputs, backtests, and diagnostics",CONDITIONAL
SVE-FCST-10,FCST,Business KPI Forecasting,Highlight unusual forecast periods or widening uncertainty.,Provide investigation guidance.,"Exception rules tested. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-11,FCST,Business KPI Forecasting,"Generate actual-number outlook, risk, and recommended planning action.",Include limitation and horizon.,"Narrative reviewed. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-FCST-12,FCST,Business KPI Forecasting,"Download filtered forecast, intervals, assumptions, and backtest metrics.",Include model/version and generation time.,"Download validation. Closure sprint implementation evidence: app/pages/4_Business_KPI_Forecasting.py; app/ui/operations_intelligence.py; saved forecast/backtest tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,"Forecast outputs, backtests, and diagnostics",VERIFIED
SVE-JOURNEY-01,JOURNEY,Journey and Funnel Analysis,Show view → add-to-cart → transaction counts and rates.,Define grain and deduplication clearly.,"Stage logic and counts tested. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,RetailRocket events and precomputed transition tables,VERIFIED
SVE-JOURNEY-02,JOURNEY,Journey and Funnel Analysis,Compare funnel performance across segments or intent tiers.,Use comparable denominators.,"Rates reconcile. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,RetailRocket events and precomputed transition tables,VERIFIED
SVE-JOURNEY-03,JOURNEY,Journey and Funnel Analysis,Show supported event transitions and major paths.,Pre-aggregate transitions; limit nodes and links.,Transition totals and path definitions verified. Condition retained: Exact ordered event transitions require event-level sequence evidence; aggregate paths only where supported. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence.,P2,RetailRocket events and precomputed transition tables,CONDITIONAL
SVE-JOURNEY-04,JOURNEY,Journey and Funnel Analysis,Highlight largest stage losses and affected segments.,Explain denominator and event window.,"Drop-off calculations tested. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,RetailRocket events and precomputed transition tables,VERIFIED
SVE-JOURNEY-05,JOURNEY,Journey and Funnel Analysis,Compare frequent converting and non-converting path patterns.,Use leakage-safe historical analysis.,Path cohorts verified. Condition retained: Converting/non-converting path comparison depends on compatible ordered event histories. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence.,P2,RetailRocket events and precomputed transition tables,CONDITIONAL
SVE-JOURNEY-06,JOURNEY,Journey and Funnel Analysis,"Show time between view, cart, and transaction where timestamps support it.",Use robust percentile summaries.,Timestamp and window logic tested. Condition retained: Exact stage durations require event timestamps at the required grain. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence.,P2,RetailRocket events and precomputed transition tables,CONDITIONAL
SVE-JOURNEY-07,JOURNEY,Journey and Funnel Analysis,"Support segment, intent tier, anomaly, item, and date filters where available.",Do not expose unsupported product categories.,Filter tests. Condition retained: Only filters supported by available snapshot columns are enabled. Evidence available: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence.,P2,RetailRocket events and precomputed transition tables,CONDITIONAL
SVE-JOURNEY-08,JOURNEY,Journey and Funnel Analysis,Provide aggregated path table and selected visitor trace where appropriate.,Protect performance and privacy.,"Drill-down validation. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,RetailRocket events and precomputed transition tables,VERIFIED
SVE-JOURNEY-09,JOURNEY,Journey and Funnel Analysis,Suggest funnel improvement actions based on actual drop-offs.,"Recommendations are operational hypotheses, not causal proof.","Rules and limitations reviewed. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,RetailRocket events and precomputed transition tables,VERIFIED
SVE-JOURNEY-10,JOURNEY,Journey and Funnel Analysis,Export aggregated funnel and transition evidence.,"Include grain, filters, and window.","Download validation. Closure sprint implementation evidence: app/pages/9_Customer_Segmentation_Journey.py; app/ui/customer_segmentation_journey.py; visitor snapshot evidence. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,RetailRocket events and precomputed transition tables,VERIFIED
SVE-ANOM-01,ANOM,Anomaly and Outlier,"Show anomaly count, rate, severity, affected segments, and latest evidence time.",Preserve current strong summary if accurate.,"Counts reconcile. Closure sprint implementation evidence: app/pages/5_Anomaly_Outlier.py; app/ui/operations_intelligence.py; saved anomaly tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Anomaly outputs and monitoring snapshots,VERIFIED
SVE-ANOM-02,ANOM,Anomaly and Outlier,Enhance purchase-intent versus anomaly-risk view with filters and hover detail.,Reuse current risk map logic where possible.,"Coordinates and categories verified. Closure sprint implementation evidence: app/pages/5_Anomaly_Outlier.py; app/ui/operations_intelligence.py; saved anomaly tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Anomaly outputs and monitoring snapshots,VERIFIED
SVE-ANOM-03,ANOM,Anomaly and Outlier,Show selected anomalous visitor against normal and segment baselines.,Use robust percentiles and clear units.,"Profile values verified. Closure sprint implementation evidence: app/pages/5_Anomaly_Outlier.py; app/ui/operations_intelligence.py; saved anomaly tables. The one-go closure runner requires compilation, focused and consolidated closure regression tests, Streamlit health, exact-file staging, enhancement-branch push, main-branch merge, main push, and public deployment evidence before reporting success.",P2,Anomaly outputs and monitoring snapshots,VERIFIED
